Name,Location,Address,PRICE RANGE,CUISINES,SPECIAL DIETS,Meals,FEATURES,Link,Budget
Hadramout resturant for arabicha,"263 Deans Road Maradana, Colombo Sri Lanka","Deans Road Maradana, Colombo","['1,500 ', ' 2,500']",Indian,Halal,"Lunch, Dinner","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d7153416-Reviews-Hadramout_resturant_for_arabicha-Colombo_Western_Province.html,Low
TosakanthíS Rosat Paan,"20 De Fonseka Road, Colombo 00500 Sri Lanka","De Fonseka Road, Colombo 00500","['1,500 ', ' 2,500']","Asian, Sri Lankan","Vegetarian Friendly, Vegan Options","Breakfast, Lunch, Dinner, Brunch, Drinks","Delivery, Takeout, Outdoor Seating, Private Dining, Seating, Parking Available, Street Parking, Free off-street parking, Free Wifi, Accepts Credit Cards",https://www.tripadvisor.com/Restaurant_Review-g293962-d16726523-Reviews-Tosakanth_S_Rosat_Paan-Colombo_Western_Province.html,Low
Moon River,"140, Thimbirigaryaya Road, Colombo Sri Lanka","Thimbirigaryaya Road, Colombo","['1,500 ', ' 2,500']","Chinese, Asian",Vegetarian Friendly,"Lunch, Dinner, Late Night","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d806851-Reviews-Moon_River-Colombo_Western_Province.html,Low
Mintaka Restaurant,"19th Floor, Tower 1, Orion City, 736 Dr Danister de Silva Mawatha, Dematagoda Best Western Elyon, Colombo 00900 Sri Lanka","Dr Danister de Silva Mawatha, Dematagoda Best Western Elyon, Colombo 00900 ","['1,500 ', ' 2,500']",Indian,"Vegetarian Friendly, Vegan Options","Lunch, Dinner","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d19006672-Reviews-Mintaka_Restaurant-Colombo_Western_Province.html,Low
Praneetha Foods,"201 Muhandiram's Road, Colombo 00300 Sri Lanka","Muhandiram's Road, Colombo 00300","['1,500 ', ' 2,500']","Indian, Asian, Sri Lankan","Vegetarian Friendly, Vegan Options","Lunch, Dinner","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d12378484-Reviews-Praneetha_Foods-Colombo_Western_Province.html,Low
Amro Vegetarian Cafe,"22, Old Kasbewa Road, Nugegoda, Colombo Sri Lanka","Old Kasbewa Road, Nugegoda, Colombo","['1,500 ', ' 2,500']","Indian, Asian, Sri Lankan","Vegetarian Friendly, Vegan Options","Breakfast, Lunch, Dinner","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d6366850-Reviews-Amro_Vegetarian_Cafe-Colombo_Western_Province.html,Low
Fountain Cafe,"Union Place Near the Staple Street junction, There's a Keells Supermarket, Colombo Sri Lanka","Union Pl, Colombo 00200","['1,500 ', ' 2,500']","Indian, Asian, Sri Lankan","Vegetarian Friendly, Vegan Options","Dinner, Lunch",Wheelchair Accessible,https://www.tripadvisor.com/Restaurant_Review-g293962-d10831365-Reviews-Fountain_Cafe-Colombo_Western_Province.html,Low
Kumbuk Kitchen,"181 Srimath Anagikara Dharmapala Mawatha Urban Island, Colombo 00700 Sri Lanka","Srimath Anagikara Dharmapala Mawatha Urban Island, Colombo 00700","['200 ', ' 1,500']","Cafe, Fusion","Vegetarian Friendly, Vegan Options","Breakfast, Lunch, Dinner, Brunch, Drinks","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d16657393-Reviews-Kumbuk_Kitchen-Colombo_Western_Province.html,Low
Sen-Saal,"1 Bank of Ceylon Mawatha World Trade Center, Colombo Sri Lanka","Bank of Ceylon Mawatha World Trade Center, Colombo","['1,500 ', ' 2,500']","Indian, Asian, Sri Lankan","Vegetarian Friendly, Vegan Options","Lunch, Dinner","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d19381148-Reviews-Sen_Saal-Colombo_Western_Province.html,Low
Sheherazade,"64, Lotus Road Hotel Galadari, Colombo Sri Lanka","Lotus Road Hotel Galadari, Colombo ","['1,978 ', ' 2,967']",Arabic,Halal,"Lunch, Dinner","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d1113767-Reviews-Sheherazade-Colombo_Western_Province.html,Low
Harbour Stop,"No.50, Sir Baron Jayatilaka Mawatha, Colombo Sri Lanka","Sir Baron Jayatilaka Mawatha, Colombo","['1,500 ', ' 2,500']","Chinese, Asian","Vegetarian Friendly, Vegan Options",Dinner,"Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d2547080-Reviews-Harbour_Stop-Colombo_Western_Province.html,Low
Saveira Indian Restaurant,"185/5 Havelock Road, Colombo 00500 Sri Lanka","Havelock Road, Colombo 00500","['1,500 ', ' 2,500']",Indian,"Vegetarian Friendly, Vegan Options","Lunch, Dinner","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d19975240-Reviews-Saveira_Indian_Restaurant-Colombo_Western_Province.html,Low
Cafe 97,"97 Fife Road, Colombo 00500 Sri Lanka","Fife Road, Colombo 00500","['1,500 ', ' 2,500']","Indian, Asian, Sri Lankan","Vegetarian Friendly, Vegan Options","Lunch, Dinner","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d18937884-Reviews-Cafe_97-Colombo_Western_Province.html,Low
Cafe 64 Pastry Shop,"64 Lotus Road Galadari Hotel, Colombo 11000 Sri Lanka","Lotus Road Galadari Hotel, Colombo 11000","['1,500 ', ' 2,500']","Cafe, Fast Food, Asian","Vegetarian Friendly, Vegan Options","Lunch, Dinner","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d14955712-Reviews-Cafe_64_Pastry_Shop-Colombo_Western_Province.html,Low
Kami Maki Colombo 07,"07 54c, Ward Place, Colombo, Colombo 01000 Sri Lanka","Ward Place, Colombo, Colombo 01000 ","['2 ', ' 15']","Japanese, Sushi, Asian","Vegetarian Friendly, Vegan Options","Dinner, Lunch, Late Night, Drinks","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d16529812-Reviews-Kami_Maki_Colombo_07-Colombo_Western_Province.html,Low
Halo Diner,"31A Sea Avenue, Colombo 00300 Sri Lanka","Sea Avenue, Colombo 00300","['150 ', ' 1,000']","Cafe, Fusion, Street Food","Vegetarian Friendly, Vegan Options","Lunch, Dinner","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d15214324-Reviews-Halo_Diner-Colombo_Western_Province.html,Low
The Food Station,"123 Vinyalankara Mawatha, Colombo 01000 Sri Lanka","Vinyalankara Mawatha, Colombo 01000 ","['1,500 ', ' 2,500']",Fast Food,"Vegetarian Friendly, Vegan Options","Lunch, Dinner","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d13133837-Reviews-The_Food_Station-Colombo_Western_Province.html,Low
Caterina Pizzeria,"No. 11 Rheinland Place Kollupitiya, Colombo 00300 Sri Lanka","Rheinland Place Kollupitiya, Colombo 00300 ","['791 ', ' 2,176']","Pizza, Italian","Vegetarian Friendly, Vegan Options","Lunch, Dinner","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d17578187-Reviews-Caterina_Pizzeria-Colombo_Western_Province.html,Low
Queens Cafe,"Duplication Road, Colombo Sri Lanka","Duplication Road, Colombo","['1,978 ', ' 2,967']","Sri Lankan, Asian","Vegetarian Friendly, Halal","Lunch, Dinner","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d806167-Reviews-Queens_Cafe-Colombo_Western_Province.html,Low
Indulge Desserts Co.,"29/5 Stratford Avenue, Colombo Sri Lanka","Stratford Avenue, Colombo ","['300 ', ' 1,500']","American, Asian","Vegetarian Friendly, Vegan Options","Lunch, Dinner","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d16787623-Reviews-Indulge_Desserts_Co-Colombo_Western_Province.html,Low
Eastern Wok,"38 Walukarama Road, Colombo Sri Lanka","Walukarama Road, Colombo ","['1,500 ', ' 2,500']","Chinese, Asian","Vegetarian Friendly, Halal","Lunch, Dinner","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d2615599-Reviews-Eastern_Wok-Colombo_Western_Province.html,Low
Baker's Choice CafÈ,"07 No. 75a, Kynsey Road, Colombo, Colombo 00700 Sri Lanka","Kynsey Road, Colombo, Colombo 00700 ","['49,456 ', ' 494,560']",Cafe,"Vegetarian Friendly, Vegan Options","Breakfast, Lunch, Dinner","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d17818710-Reviews-Baker_s_Choice_Cafe-Colombo_Western_Province.html,High
VU-Restobar,"102A Kirulapone Avenue Baseline Road, Colombo 00500 Sri Lanka","Kirulapone Avenue Baseline Road, Colombo 00500 ","['1,500 ', ' 2,500']","International, Bar, Asian, Pub, Sri Lankan",Vegetarian Friendly,"Late Night, Drinks, Lunch, Dinner","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d11873261-Reviews-VU_Restobar-Colombo_Western_Province.html,Low
Ammas Tasty and Healthy Food,"297-1/1 George R. de Silva Mawatha Colombo 01300, Sri Lanka, Colombo 00100 Sri Lanka","George R. de Silva Mawatha Colombo 01300, Sri Lanka, Colombo 00100","['450 ', ' 2,000']","Chinese, Indian, Asian, Sri Lankan","Vegetarian Friendly, Vegan Options","Breakfast, Lunch, Dinner","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d21227069-Reviews-Ammas_Tasty_and_Healthy_Food-Colombo_Western_Province.html,Low
Quick Thai,"Park Road, Colombo 00500 Sri Lanka","Park Road, Colombo 00500 ","['1,500 ', ' 2,500']",Thai,"Vegetarian Friendly, Vegan Options","Lunch, Dinner","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d16755115-Reviews-Quick_Thai-Colombo_Western_Province.html,Low
The Brick Lane Cookie Company,"Galle Main Rd Crescat Boulevard, Colombo Sri Lanka","Galle Main Rd Crescat Boulevard, Colombo","['180 ', ' 220']",Cafe,"Vegetarian Friendly, Vegan Options","Lunch, Dinner","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d14939586-Reviews-The_Brick_Lane_Cookie_Company-Colombo_Western_Province.html,Low
The Station,"no 41/1, Wasala Road Dehiwala, Colombo Sri Lanka","Wasala Road Dehiwala, Colombo ","['1,500 ', ' 2,500']","Seafood, Asian, Sri Lankan","Vegetarian Friendly, Vegan Options","Dinner, Late Night","Reservations, Outdoor Seating, Seating, Serves Alcohol, Full Bar, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d1901337-Reviews-The_Station-Colombo_Western_Province.html,Low
Red Orchids Restaurant,"35 Castle Lane Colombo 04, Colombo Sri Lanka","Castle Lane Colombo 04, Colombo","['1,500 ', ' 2,500']","Chinese, Asian, Thai",Vegan Options,"Lunch, Dinner","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d8076913-Reviews-Red_Orchids_Restaurant-Colombo_Western_Province.html,Low
Cafe Sociale,"252 Galle Road Milagiriya, Colombo 00400 Sri Lanka","Galle Road Milagiriya, Colombo 00400","['750 ', ' 1,650']","Cafe, American, Southwestern","Vegetarian Friendly, Vegan Options","Lunch, Breakfast, Dinner","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d13899481-Reviews-Cafe_Sociale-Colombo_Western_Province.html,Low
Eat,"38 Clifford Place Bambalapitiya, Colombo 00400 Sri Lanka","Clifford Place Bambalapitiya, Colombo 00400","['1,978 ', ' 3,956']","American, Indian","Vegetarian Friendly, Vegan Options","Breakfast, Lunch, Dinner, Drinks","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d12179615-Reviews-Eat-Colombo_Western_Province.html,Low
Kaffeine by REPUBLK,"57 Hospital Street, Colombo 00100 Sri Lanka","Hospital Street, Colombo 00100","['500 ', ' 1,500']","American, Asian, Contemporary, Fusion, Sri Lankan","Vegetarian Friendly, Vegan Options","Breakfast, Lunch, Dinner, Brunch, Late Night, Drinks","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d19870195-Reviews-Kaffeine_by_REPUBLK-Colombo_Western_Province.html,Low
Jack Tree,"200 Park Road, Colombo Sri Lanka","Park Road, Colombo","['1,500 ', ' 2,500']","Asian, Thai","Vegetarian Friendly, Vegan Options","Lunch, Dinner","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d2223827-Reviews-Jack_Tree-Colombo_Western_Province.html,Low
Moksha,"27 Hildon Place (Opposite ICBT Campus), Colombo 00400 Sri Lanka","Hildon Place (Opposite ICBT Campus), Colombo 00400","['1,500 ', ' 2,500']","Indian, Fast Food","Vegetarian Friendly, Vegan Options","Breakfast, Lunch, Dinner","Delivery, Takeout, Seating, Street Parking",https://www.tripadvisor.com/Restaurant_Review-g293962-d12502428-Reviews-Moksha-Colombo_Western_Province.html,Low
Beruwala Eating House,"46/3 Galle Road wellawatta, Colombo Sri Lanka","Galle Road wellawatta, Colombo ","['1,500 ', ' 2,500']","Asian, Sri Lankan","Vegetarian Friendly, Vegan Options","Lunch, Dinner","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d12284145-Reviews-Beruwala_Eating_House-Colombo_Western_Province.html,Low
Hotel Sunhill Chinese Restaurant,"Hotel Sunhill Colombo, Kollupitiya Palmyrah Avenue, Colombo Sri Lanka","Hotel Sunhill Colombo, Kollupitiya Palmyrah Avenue, Colombo","['1,500 ', ' 2,500']",Chinese,"Vegetarian Friendly, Vegan Options","Lunch, Dinner","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d8087057-Reviews-Hotel_Sunhill_Chinese_Restaurant-Colombo_Western_Province.html,Low
Sukiya,"Galle Road Mount Lavinia, Colombo Sri Lanka","Galle Road Mount Lavinia, Colombo","['1,500 ', ' 2,500']",Asian,"Vegetarian Friendly, Vegan Options","Lunch, Dinner","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d3439643-Reviews-Sukiya-Colombo_Western_Province.html,Low
Butlers,"33B Park Street, Colombo 00200 Sri Lanka","Park Street, Colombo 00200 ","['1,000 ', ' 2,500']","Chinese, Asian, Contemporary, Sri Lankan","Vegetarian Friendly, Vegan Options","Lunch, Dinner, Late Night, Drinks","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d19971264-Reviews-Butlers-Colombo_Western_Province.html,Low
Delifrance,"Duplication Road Deal Place, Colombo Sri Lanka","Duplication Road Deal Place, Colombo","['1,500 ', ' 2,500']",Cafe,Vegetarian Friendly,"Lunch, Breakfast, Dinner, Brunch","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d9582864-Reviews-Delifrance-Colombo_Western_Province.html,Low
Sushi Kai,"143A Jawatte Rd, Colombo 00500 Sri Lanka","Jawatte Rd, Colombo 00500 ","['1,500 ', ' 2,500']","Japanese, Asian, Sri Lankan, Sushi",Vegetarian Friendly,"Dinner, Lunch","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d12832271-Reviews-Sushi_Kai-Colombo_Western_Province.html,Low
Ruhunu Foods,"Lotus Road,, Colombo Sri Lanka","Lotus Road,, Colombo","['1,500 ', ' 2,500']",Asian,"Vegetarian Friendly, Vegan Options","Lunch, Dinner","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d14927039-Reviews-Ruhunu_Foods-Colombo_Western_Province.html,Low
Far East,"372 Vauxhall Street, Colombo 00200 Sri Lanka","Vauxhall Street, Colombo 00200 ","['500 ', ' 1,000']","Asian, Indonesian","Vegetarian Friendly, Vegan Options","Lunch, Dinner","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d10801609-Reviews-Far_East-Colombo_Western_Province.html,Low
Orient Club,"1 Rajakeeya Mawatha, Colombo 00700 Sri Lanka","Rajakeeya Mawatha, Colombo 00700","['1,500 ', ' 2,500']","Indian, Asian, Sri Lankan","Vegetarian Friendly, Vegan Options","Lunch, Dinner","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d11825570-Reviews-Orient_Club-Colombo_Western_Province.html,Low
Kitchen3576 FoodTruck,"Wellawatte In front of OZO hotel, Colombo Sri Lanka","Wellawatte In front of OZO hotel, Colombo ","['100 ', ' 540']","American, Indian, Contemporary, Arabic, Asian, Sri Lankan","Vegetarian Friendly, Vegan Options","Dinner, Late Night, Drinks","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d16426341-Reviews-Kitchen3576_FoodTruck-Colombo_Western_Province.html,Low
Juiceez,"29B, Maitland Place, Colombo Sri Lanka","Maitland Place, Colombo","['1,500 ', ' 2,500']","Indian, Asian, Sri Lankan","Vegetarian Friendly, Vegan Options","Lunch, Dinner","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d10454830-Reviews-Juiceez-Colombo_Western_Province.html,Low
Bombay Sweet Mahal,"195 Galle Road, Colombo 00600 Sri Lanka","Galle Road, Colombo 00600","['1,500 ', ' 2,500']","Indian, Asian, Sri Lankan","Vegetarian Friendly, Vegan Options","Lunch, Dinner","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d10478661-Reviews-Bombay_Sweet_Mahal-Colombo_Western_Province.html,Low
The Keg,"T B Jayah Road,  Maradana, Colombo 10 Excel World, Colombo Sri Lanka","T B Jayah Road,  Maradana, Colombo 10 Excel World, Colombo ","['1,500 ', ' 2,500']","Bar, Pub","Vegetarian Friendly, Vegan Options",Lunch,"Reservations, Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d8177877-Reviews-The_Keg-Colombo_Western_Province.html,Low
Curry Pot Restaurant,"39 Bristol Street, Colombo 00100 Sri Lanka","Bristol Street, Colombo 00100","['1,500 ', ' 2,500']",Indian,"Vegetarian Friendly, Vegan Options","Lunch, Dinner","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d15667519-Reviews-Curry_Pot_Restaurant-Colombo_Western_Province.html,Low
Steamboat Restaurant,"14, Narahenpita Road Nawala, Colombo Sri Lanka","Narahenpita Road Nawala, Colombo","['1,500 ', ' 2,500']","Chinese, Asian",Vegetarian Friendly,"Lunch, Dinner, Late Night","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d2621219-Reviews-Steamboat_Restaurant-Colombo_Western_Province.html,Low
The Grove,"289 High Level Rd, Colombo 00500 Sri Lanka","High Level Rd, Colombo 00500","['1,500 ', ' 2,500']","Indian, Asian, Sri Lankan","Vegetarian Friendly, Vegan Options",Breakfast,"Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d19799443-Reviews-The_Grove-Colombo_Western_Province.html,Low
TACOCAT,"07 11 Wijerama Mawatha, Colombo next to Black Cat Cafe, Colombo 00700 Sri Lanka","Wijerama Mawatha, Colombo next to Black Cat Cafe, Colombo 00700","['7 ', ' 40']","Mexican, Fast Food, Southwestern, Cafe",Vegetarian Friendly,"Lunch, Dinner","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d13353564-Reviews-TACOCAT-Colombo_Western_Province.html,Low
Sri Lankan Restaurant,"No 2 York Street, Colombo 01, Colombo Sri Lanka","York Street, Colombo 01, Colombo","['1,500 ', ' 2,500']","Asian, Sri Lankan","Vegetarian Friendly, Vegan Options","Lunch, Dinner","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d10271942-Reviews-Sri_Lankan_Restaurant-Colombo_Western_Province.html,Low
Kinnaree,"62/6, Old Dutch Hospital Square, Chatham Street, Colombo Sri Lanka","Old Dutch Hospital Square, Chatham Street, Colombo","['1,500 ', ' 2,500']","Asian, Thai, Fusion",Vegetarian Friendly,"Lunch, Dinner","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d4753871-Reviews-Kinnaree-Colombo_Western_Province.html,Low
Pure Kitchen,"3 Jawatte Ave Body Bar Gym, Colombo 00500 Sri Lanka","Jawatte Ave Body Bar Gym, Colombo 00500","['500 ', ' 1,500']","Cafe, Healthy","Vegetarian Friendly, Vegan Options","Breakfast, Lunch, Brunch","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d15834997-Reviews-Pure_Kitchen-Colombo_Western_Province.html,Low
KIKU Colombo,"5 32 A1 Dr Lester James Peries Mw Col Above the Shirohana, Colombo 00500 Sri Lanka","Dr Lester James Peries Mw Col Above the Shirohana, Colombo 00500","['950 ', ' 1,500']","Japanese, European, Fusion","Vegetarian Friendly, Vegan Options","Lunch, Dinner","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d15656481-Reviews-KIKU_Colombo-Colombo_Western_Province.html,Low
Sakura,"15 Rheinland Pl Kollupitiya, Colombo Sri Lanka","Rheinland Pl Kollupitiya, Colombo","['1,500 ', ' 2,500']","Japanese, Sushi, Asian","Vegetarian Friendly, Vegan Options","Lunch, Dinner","Takeout, Reservations, Seating, Serves Alcohol, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d1133598-Reviews-Sakura-Colombo_Western_Province.html,Low
Tang Dynasty,"75 Dickmans Road, Colombo Sri Lanka","Dickmans Road, Colombo","['1,500 ', ' 2,500']","Chinese, Asian, Seafood","Vegetarian Friendly, Vegan Options","Lunch, Dinner","Takeout, Reservations, Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d7258760-Reviews-Tang_Dynasty-Colombo_Western_Province.html,Low
Kohinoor Restaurant,"9 Edward Lane Pearl Grand Hotel, Colombo 00300 Sri Lanka","Edward Lane Pearl Grand Hotel, Colombo 00300","['1,500 ', ' 2,500']","Chinese, Indian, Asian, Sri Lankan","Vegetarian Friendly, Vegan Options","Lunch, Dinner",Reservations,https://www.tripadvisor.com/Restaurant_Review-g293962-d7140425-Reviews-Kohinoor_Restaurant-Colombo_Western_Province.html,Low
Bombay Sweet Meat Mart,"201 2nd Cross Street, Colombo Sri Lanka","2nd Cross Street, Colombo","['1,500 ', ' 2,500']","Indian, Asian, Sri Lankan","Vegetarian Friendly, Vegan Options","Lunch, Dinner","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d11962018-Reviews-Bombay_Sweet_Meat_Mart-Colombo_Western_Province.html,Low
Hancook kitchen,"No:501/1/A, New Kandy Rd Thalangama North, Thalangama, Colombo 10100 Sri Lanka","New Kandy Rd Thalangama North, Thalangama, Colombo 10100","['1,500 ', ' 2,500']","Indian, Asian, Sri Lankan","Vegetarian Friendly, Vegan Options","Lunch, Dinner","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d15214826-Reviews-Hancook_kitchen-Colombo_Western_Province.html,Low
Coffee Club,"15 Fife Road Colombo  5, Colombo Sri Lanka","Fife Road Colombo  5, Colombo","['1,500 ', ' 2,500']","Chinese, Cafe, Barbecue, Asian, Italian","Vegetarian Friendly, Vegan Options","Lunch, Dinner, Late Night, Drinks","Takeout, Reservations, Outdoor Seating, Private Dining, Seating, Parking Available, Television, Free Wifi, Accepts Credit Cards, Table Service, Family style",https://www.tripadvisor.com/Restaurant_Review-g293962-d18543223-Reviews-Coffee_Club-Colombo_Western_Province.html,Low
Food Waves,"Kandewatta Road Nawala, Colombo Sri Lanka","Kandewatta Road Nawala, Colombo","['1,500 ', ' 2,500']","Indian, Asian","Vegetarian Friendly, Vegan Options","Lunch, Dinner","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d2669345-Reviews-Food_Waves-Colombo_Western_Province.html,Low
Makye Ame Chinese Restaurant,"4, Vajira Road, Colombo 110036 Sri Lanka","Vajira Road, Colombo 110036 ","['10 ', ' 25']","Chinese, Seafood, Asian",Halal,"Lunch, Dinner","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d10496646-Reviews-Makye_Ame_Chinese_Restaurant-Colombo_Western_Province.html,Low
668 Chinese Restaurant,"51C 7 Alexandra Pl, Colombo 00700 Sri Lanka","Alexandra Pl, Colombo 00700 ","['500 ', ' 1,500']","Chinese, Cafe, Fast Food, Barbecue, Fujian","Vegetarian Friendly, Vegan Options","Lunch, Dinner","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d18380019-Reviews-668_Chinese_Restaurant-Colombo_Western_Province.html,Low
Han Gook Gwan,"25 Havelock Road, Colombo Sri Lanka","Havelock Road, Colombo","['1,500 ', ' 2,500']","Asian, Korean","Vegetarian Friendly, Vegan Options","Lunch, Dinner","Reservations, Seating, Takeout, Serves Alcohol, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d3209310-Reviews-Han_Gook_Gwan-Colombo_Western_Province.html,Low
"Arabian Nights,","210 Thimbirigasyaya Rd, Colombo Sri Lanka","Thimbirigasyaya Rd, Colombo","['1,500 ', ' 2,500']",Middle Eastern,"Vegetarian Friendly, Vegan Options","Lunch, Dinner","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d16760232-Reviews-Arabian_Nights-Colombo_Western_Province.html,Low
Otter Aquatic Club,"380/1 Bauddhaloka Mawatha, Colombo 00700 Sri Lanka","Bauddhaloka Mawatha, Colombo 00700","['1,500 ', ' 2,500']","Bar, Pub","Vegetarian Friendly, Vegan Options","Lunch, Breakfast, Dinner","Seating, Reservations, Wheelchair Accessible, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d11978615-Reviews-Otter_Aquatic_Club-Colombo_Western_Province.html,Low
Pizza Hut,"1 Sripa Road Thimbirigasyaya, Colombo 5, Colombo Sri Lanka","Sripa Road Thimbirigasyaya, Colombo 5, Colombo","['1,500 ', ' 2,500']",Pizza,"Vegetarian Friendly, Vegan Options","Lunch, Dinner","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d15666100-Reviews-Pizza_Hut-Colombo_Western_Province.html,Low
Tony Ni Barbecue,"59 Walukarama Road, Colombo Sri Lanka","Walukarama Road, Colombo ","['1,500 ', ' 2,500']","Chinese, Barbecue","Vegetarian Friendly, Vegan Options","Lunch, Dinner","Reservations, BYOB",https://www.tripadvisor.com/Restaurant_Review-g293962-d9706664-Reviews-Tony_Ni_Barbecue-Colombo_Western_Province.html,Low
Java Lounge,"No. 76 Barnes Place, Colombo 00700 Sri Lanka","Barnes Place, Colombo 00700","['1,500 ', ' 2,500']",African,"Vegetarian Friendly, Vegan Options","Lunch, Dinner","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d15617040-Reviews-Java_Lounge-Colombo_Western_Province.html,Low
Al Maas Family Restaurant,"56 W a. Silva Mawatha, Colombo 00600 Sri Lanka","W a. Silva Mawatha, Colombo 00600","['1,500 ', ' 2,500']","Indian, Asian, Sri Lankan, Chinese","Halal, Vegetarian Friendly, Vegan Options","Lunch, Dinner, Brunch","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d8607695-Reviews-Al_Maas_Family_Restaurant-Colombo_Western_Province.html,Low
Sathkara by Stay Lost & Found,"No 18 Boyd Place Colombo 03, Colombo 00300 Sri Lanka","Boyd Place Colombo 03, Colombo 00300","['400 ', ' 2,000']","Italian, Chinese, Cafe, Asian, Sri Lankan, Central-Italian","Vegetarian Friendly, Vegan Options","Lunch, Dinner","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d21082944-Reviews-Sathkara_by_Stay_Lost_Found-Colombo_Western_Province.html,Low
Casserole,"253 Galle Road, Colombo Sri Lanka","Galle Road, Colombo ","['1,500 ', ' 2,500']","International, Asian","Vegetarian Friendly, Vegan Options","Lunch, Dinner","Takeout, Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d4475094-Reviews-Casserole-Colombo_Western_Province.html,Low
